"Name","Total Time","Total Time (CPU)","Hits"
"                                                                                                org.hibernate.sql.results.internal.ResultsHelper.createRowReader ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                 org.hibernate.sql.results.internal.ResultsHelper.createRowReader ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                  org.hibernate.sql.results.jdbc.internal.StandardJdbcValuesMapping.resolveAssemblers ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                   org.hibernate.sql.results.graph.entity.internal.EntityResultImpl.createResultAssembler ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                    org.hibernate.sql.results.internal.ResultsHelper$1.resolveInitializer ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                     org.hibernate.sql.results.graph.entity.internal.EntityResultImpl$$Lambda$1252.0x000000080150cab0.get ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                      org.hibernate.sql.results.graph.entity.internal.EntityResultImpl.lambda$createResultAssembler$0 ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                       org.hibernate.sql.results.graph.entity.internal.EntityResultInitializer.<init> ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                        org.hibernate.sql.results.graph.entity.AbstractEntityInitializer.<init> ()","286 ms (-0%)","286 ms (-0%)","3"
"                                                                                                         org.hibernate.metamodel.mapping.EntityMappingType.getSubclassId ()","99.3 ms (-0%)","99.3 ms (-0%)","1"
"                                                                                                         org.hibernate.sql.results.graph.AbstractFetchParent.findFetch ()","95.2 ms (-0%)","95.2 ms (-0%)","1"
"                                                                                                          org.hibernate.sql.results.graph.internal.ImmutableFetchList.get ()","95.2 ms (-0%)","95.2 ms (-0%)","1"
"                                                                                                          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                                                                                                         org.hibernate.sql.results.graph.entity.internal.EntityDelayedFetchImpl.createAssembler ()","91.9 ms (-0%)","91.9 ms (-0%)","1"
